Date,Open,High,Low,Close,Volume,RSI,SmoothedMA
2023-10-16,176.750000,179.080002,176.509995,178.720001,178,69.60722315407932,156.3252051530615
2023-10-17,176.649994,178.419998,174.800003,177.149994,176,75.63384490481285,156.427755591837
2023-10-18,175.580002,177.580002,175.110001,175.839996,175,68.47819358786435,156.4024490255105
2023-10-19,176.039993,177.839996,175.190002,175.460007,175,62.67099105174134,156.32372490816354
2023-10-20,175.309998,175.419998,172.639999,172.880005,172,55.307274082836926,156.03903126020438
2023-10-23,170.910004,174.009995,169.929993,173.000000,172,51.38411260835989,155.76734743367373
2023-10-24,173.050003,173.669998,171.449997,173.440002,173,47.96295212620834,155.5240310663268
2023-10-25,171.880005,173.059998,170.649994,171.100006,170,45.22416938672052,155.11469458673497
2023-10-26,170.369995,171.380005,165.669998,166.889999,166,28.91090691761302,154.424082086735
2023-10-27,166.910004,168.960007,166.830002,168.220001,167,16.125433482254365,153.88255139285747
2023-10-30,169.020004,171.169998,168.869995,170.289993,170,22.646607221124953,153.5438262704085
2023-10-31,169.350006,170.899994,167.899994,170.770004,170,25.298675324675315,153.280714209184
2023-11-01,171.000000,174.229996,170.119995,173.970001,173,23.59192533775358,153.2922447857146
2023-11-02,175.520004,177.779999,175.460007,177.570007,177,37.896814797100944,153.59530643367378
2023-11-03,174.240005,176.820007,173.350006,176.649994,176,47.56666566793643,153.83918347449008
2023-11-06,176.380005,179.429993,176.210007,179.229996,178,48.91209794947869,154.27790763265335
2023-11-07,179.179993,182.440002,178.970001,181.820007,181,56.98968668636641,154.89102032142887
2023-11-08,182.350006,183.449997,181.589996,182.889999,182,62.01812423837975,155.55005075000028
2023-11-09,182.960007,184.119995,181.809998,182.410004,182,70.06008731213342,156.13688769897985
2023-11-10,183.970001,186.570007,183.529999,186.399994,186,68.58947912578196,156.9601014897962
2023-11-13,185.820007,186.029999,184.210007,184.800003,184,72.45319770115147,157.6006628928574
2023-11-14,187.699997,188.110001,186.300003,187.440002,187,74.35987307116434,158.37183646428596
2023-11-15,187.850006,189.500000,187.779999,188.009995,188,88.70056916382036,159.10035649489822
2023-11-16,189.570007,190.960007,188.649994,189.710007,189,88.36758460413637,159.84255087244924
2023-11-17,190.250000,190.380005,188.570007,189.690002,189,88.1982785846049,160.4736734336737
2023-11-20,189.889999,191.910004,189.880005,191.449997,191,87.9006279085029,161.13153028571452
2023-11-21,191.410004,191.520004,189.740005,190.639999,190,87.15984912247464,161.62601996938798
2023-11-22,191.490005,192.929993,190.830002,191.309998,191,81.5243476168543,162.083315714286
2023-11-24,190.869995,190.899994,189.250000,189.970001,189,85.79105684760859,162.3747953928574
2023-11-27,189.919998,190.669998,188.899994,189.789993,189,77.91064926948715,162.58545813775535
2023-11-28,189.779999,191.080002,189.399994,190.399994,190,73.67795101763083,162.78581484693902
2023-11-29,190.899994,192.089996,188.970001,189.369995,189,72.93831032078656,162.86882475510228
2023-11-30,189.839996,190.320007,188.190002,189.949997,189,70.56736509312923,162.96020217346967
2023-12-01,190.330002,191.559998,189.229996,191.240005,191,63.13842806354022,163.10525366836762
2023-12-04,189.979996,190.050003,187.449997,189.429993,189,74.39391740131221,163.09632465816358
2023-12-05,190.210007,194.399994,190.179993,193.419998,193,58.043598766017446,163.34877360714316
2023-12-06,194.449997,194.759995,192.110001,192.320007,192,67.13106064765756,163.492141586735
2023-12-07,193.630005,195.000000,193.589996,194.270004,194,58.59116709523757,163.75280520918395
2023-12-08,194.199997,195.990005,193.669998,195.710007,195,63.37616468960421,164.09306089795948
2023-12-11,193.110001,193.490005,191.419998,193.179993,193,62.67858609692131,164.22188698979622
2023-12-12,193.080002,194.720001,191.720001,194.710007,194,56.85742187542186,164.45117328571456
2023-12-13,195.089996,198.000000,194.850006,197.960007,197,58.77192996034942,164.89183709183703
